species,latitude,longitude,coordUncertainty_meters,elevation_m,year,notes
Daphne bholua,0,0,,,1803,coordinates rounded
Daphne bholua,0,0,,,,coordinates rounded
Daphne bholua,0,0,,,,coordinates rounded
Daphne bholua,0,0,,,2007,coordinates rounded
Daphne bholua,0,0,,,2009,coordinates rounded
Daphne bholua,0,0,,,1983,coordinates rounded
Daphne bholua,0,0,,,1990,coordinates rounded
Daphne bholua,0,0,,,1973,coordinates rounded
Daphne bholua,0,0,,,1991,coordinates rounded
Daphne bholua,0,0,,,1995,coordinates rounded
Daphne bholua,0,0,,2286,1980,coordinates rounded
Daphne bholua,0,0,,,1991,coordinates rounded
Daphne bholua,27.8,27.8,,2750,2004,coordinates rounded
Daphne bholua,0,0,,,1978,coordinates rounded
Daphne bholua,0,0,,,1974,coordinates rounded
Daphne bholua,0,0,,,1991,coordinates rounded
Daphne bholua,0,0,,,1980,coordinates rounded
Daphne bholua,0,0,,,2000,coordinates rounded
Daphne bholua,28.2,28.2,,2000,2001,coordinates rounded
Daphne bholua,0,0,,,1971,coordinates rounded
Daphne bholua,0,0,,,1983,coordinates rounded
Daphne bholua,0,0,,,,coordinates rounded
Daphne bholua,27.8,27.8,,2956,,coordinates rounded
Daphne bholua,27.9,27.9,,3903,,coordinates rounded
Daphne bholua,27.8,27.8,,2740,,coordinates rounded
Daphne bholua,27.8,27.8,15,3359,2019,coordinates rounded
Daphne bholua,28.1,28.1,5,3054,2019,coordinates rounded
Daphne bholua,28.2,28.2,37,2284,2004,coordinates rounded
Daphne bholua,28.4,28.4,,3247,2020,coordinates rounded
Daphne bholua,28.5,28.5,244,3002,2018,coordinates rounded
Daphne bholua,28.6,28.6,977,2491,2019,coordinates rounded
Daphne bholua,28.2,28.2,3170,1933,1997,coordinates rounded
Daphne bholua,28.4,28.4,,2733,2020,coordinates rounded
Daphne bholua,27.7,27.7,,2993,2019,coordinates rounded
Daphne bholua,28.3,28.3,,2459,2019,coordinates rounded
Daphne bholua,27.8,27.8,122,3361,2019,coordinates rounded
Daphne bholua,27.7,27.7,20,3208,2019,coordinates rounded
Daphne bholua,27.7,27.7,50,3177,2019,coordinates rounded
Daphne bholua,27.6,27.6,,2458,2017,coordinates rounded
Daphne bholua,27.6,27.6,,2678,2017,coordinates rounded
Daphne bholua,28.4,28.4,8,2048,2019,coordinates rounded
Daphne bholua,28.4,28.4,20,2048,2019,coordinates rounded
Daphne bholua,27.7,27.7,,2517,2021,coordinates rounded
Daphne bholua,27,27,,2637,2021,coordinates rounded
Daphne bholua,27.7,27.7,,3100,1970,coordinates rounded
Daphne bholua,28.2,28.2,,2320,1970,coordinates rounded
Daphne bholua,27.2,27.2,,2800,1972,coordinates rounded
Daphne bholua,27.5,27.5,,3200,1963,coordinates rounded
Daphne bholua,28.4,28.4,,2150,1994,coordinates rounded
Daphne bholua,28.6,28.6,,2360,1992,coordinates rounded
Daphne bholua,28.6,28.6,,2610,1992,coordinates rounded
Daphne bholua,28.3,28.3,,2695,2000,coordinates rounded
Daphne bholua,28.4,28.4,,2750,1988,coordinates rounded
Daphne bholua,28.4,28.4,,2900,1988,coordinates rounded
Daphne bholua,28,28,,3300,1993,coordinates rounded
